frameNo: 0 | Accumulated: 1 | PTS: 7760672465941 | PTSInterval: 2275800967348000
frameNo: 1 | Accumulated: 0MouseOnly?7760672681835
frameNo: 1 | Accumulated: 0MouseOnly?7760672709047
frameNo: 1 | Accumulated: 0MouseOnly?7760672736301
frameNo: 1 | Accumulated: 0MouseOnly?7760672763602
frameNo: 1 | Accumulated: 0MouseOnly?7760672790741
frameNo: 1 | Accumulated: 0MouseOnly?7760672818674
frameNo: 1 | Accumulated: 0MouseOnly?7760672845480
frameNo: 1 | Accumulated: 0MouseOnly?7760672873001
frameNo: 1 | Accumulated: 0MouseOnly?7760672900428
frameNo: 1 | Accumulated: 0MouseOnly?7760672928009
frameNo: 1 | Accumulated: 0MouseOnly?7760672955456
frameNo: 1 | Accumulated: 0MouseOnly?7760672982249
frameNo: 1 | Accumulated: 0MouseOnly?7760673009688
frameNo: 1 | Accumulated: 0MouseOnly?7760673064001
frameNo: 1 | Accumulated: 0MouseOnly?7760673227335
frameNo: 1 | Accumulated: 0MouseOnly?7760673555234
frameNo: 1 | Accumulated: 0MouseOnly?7760673582293
frameNo: 1 | Accumulated: 0MouseOnly?7760673609808
frameNo: 1 | Accumulated: 0MouseOnly?7760673637144
frameNo: 1 | Accumulated: 0MouseOnly?7760673691710
frameNo: 1 | Accumulated: 0MouseOnly?7760673746447
frameNo: 1 | Accumulated: 0MouseOnly?7760673991849
frameNo: 1 | Accumulated: 0MouseOnly?7760674046970
frameNo: 1 | Accumulated: 0MouseOnly?7760674073370
frameNo: 1 | Accumulated: 0MouseOnly?7760674101473
frameNo: 1 | Accumulated: 0MouseOnly?7760674128303
frameNo: 1 | Accumulated: 0MouseOnly?7760674158310
frameNo: 1 | Accumulated: 0MouseOnly?7760674345889
frameNo: 1 | Accumulated: 0MouseOnly?7760674373165
frameNo: 1 | Accumulated: 0MouseOnly?7760674427893
frameNo: 1 | Accumulated: 0MouseOnly?7760674455063
frameNo: 1 | Accumulated: 0MouseOnly?7760674482539
frameNo: 1 | Accumulated: 0MouseOnly?7760674509936
frameNo: 1 | Accumulated: 0MouseOnly?7760674537427
frameNo: 1 | Accumulated: 0MouseOnly?7760674592006
frameNo: 1 | Accumulated: 0MouseOnly?7760675682560
frameNo: 1 | Accumulated: 0MouseOnly?7760675709816
frameNo: 1 | Accumulated: 0MouseOnly?7760675737081
frameNo: 1 | Accumulated: 0MouseOnly?7760675764432
frameNo: 1 | Accumulated: 0MouseOnly?7760675791613
frameNo: 1 | Accumulated: 0MouseOnly?7760675818926
frameNo: 1 | Accumulated: 0MouseOnly?7760675846179
frameNo: 1 | Accumulated: 0MouseOnly?7760675873515
frameNo: 1 | Accumulated: 0MouseOnly?7760675901293
frameNo: 1 | Accumulated: 0MouseOnly?7760675928079
frameNo: 1 | Accumulated: 0MouseOnly?7760675955464
frameNo: 1 | Accumulated: 0MouseOnly?7760675982660
frameNo: 1 | Accumulated: 0MouseOnly?7760676009982
frameNo: 1 | Accumulated: 1 | PTS: 7760676031947 | PTSInterval: 1045724000
frameNo: 2 | Accumulated: 0MouseOnly?7760676037184
frameNo: 2 | Accumulated: 0MouseOnly?7760676064497
frameNo: 2 | Accumulated: 0MouseOnly?7760676091737
frameNo: 2 | Accumulated: 0MouseOnly?7760676118993
frameNo: 2 | Accumulated: 0MouseOnly?7760676146318
frameNo: 2 | Accumulated: 0MouseOnly?7760676173680
frameNo: 2 | Accumulated: 0MouseOnly?7760676201325
frameNo: 2 | Accumulated: 0MouseOnly?7760676228269
frameNo: 2 | Accumulated: 0MouseOnly?7760676255419
frameNo: 2 | Accumulated: 0MouseOnly?7760676282785
frameNo: 2 | Accumulated: 0MouseOnly?7760676309929
frameNo: 2 | Accumulated: 0MouseOnly?7760676337389
frameNo: 2 | Accumulated: 0MouseOnly?7760676364496
frameNo: 2 | Accumulated: 0MouseOnly?7760676391981
frameNo: 2 | Accumulated: 0MouseOnly?7760676419087
frameNo: 2 | Accumulated: 0MouseOnly?7760676446422
frameNo: 2 | Accumulated: 0MouseOnly?7760676474177
frameNo: 2 | Accumulated: 0MouseOnly?7760676500966
frameNo: 2 | Accumulated: 0MouseOnly?7760676529181
frameNo: 2 | Accumulated: 0MouseOnly?7760676555524
frameNo: 2 | Accumulated: 0MouseOnly?7760676582776
